yearweek,id_week,netsales_online,direct_mail,emails,phone_calls,online_budget,promotion,holiday,avg_cloud_index,avg_temp,avg_wind_speed,avg_rainfall_level,avg_hours_sun,avg_snow_level
201501,1,36999601,1657409,7940890,60289,1592882.7,1,1,6.389505417,1.511591036,4.818268271,2.139169353,1.69472808,4.352801526
201502,2,48835239,1636261,8006703,124623,1532079.97,1,0,6.771789154,5.759182165,7.652615886,4.892557346,1.054485088,1.243304734
201503,3,36129866,110936,5459639,99061,1422730.83,0,0,6.550906476,1.42222874,3.28027467,1.417071565,1.263986483,1.249275799
201504,4,38837398,4438913,8244171,88189,1383643.41,0,0,7.137731226,0.396899449,3.905748772,2.244240171,0.58260805,2.949618503
201505,5,37626122,64813,5524945,75075,1388096.99,0,0,6.561077926,-0.71023266,3.804411209,1.946786269,1.648585254,8.217035229
201506,6,32634668,112022,8210910,77606,1269700.74,0,0,5.898671194,-0.292358485,4.250599306,0.352342395,2.592737935,7.524479974
201507,7,30644601,51248,8247109,87253,1184483.72,0,0,4.900957862,0.274084588,3.055268778,0.020442767,3.813184683,4.74358196
201508,8,36852284,54761,8106924,107256,1313267.32,0,0,5.482008566,2.118495933,4.069853417,1.371282741,2.961936874,3.777803378
201509,9,37126552,2859730,6722108,120253,1456116.73,0,0,5.350143417,3.174546591,4.695244798,2.678310105,3.944862047,3.117787952
201510,10,44474706,60937,10067048,121654,1342508.53,1,0,4.982708548,4.990808073,3.218544764,0.262449468,5.326842215,2.803175815
201511,11,35680501,2502531,9680360,109860,1368873.19,0,0,4.922266722,5.002209696,3.733305675,0.176364692,5.297275245,2.02783894
201512,12,37537325,56082,9144224,106215,1381828.85,0,0,4.602702999,4.908747228,2.900548231,0.577338923,5.930985507,1.491131875
201513,13,42481133,2279077,10258818,82231,1435599.78,0,0,6.851406854,6.042238736,6.500385444,5.732574323,2.251103681,1.281478154
201514,14,32632965,166844,6302130,41373,1427997.34,0,1,4.913323576,4.066649087,3.641465161,1.165643398,5.920338594,2.349145477
201515,15,33141322,65770,8507417,95819,1309765.14,0,0,4.39810279,11.00458853,3.897840227,0.194762875,8.754666988,1.58132828
201516,16,32228631,1496195,6718967,101687,1235455.17,0,0,3.383344768,9.148650735,3.496984205,0.476898458,9.546368108,1.23096628
201517,17,42475166,59168,8537658,122030,1308958.92,1,0,4.991884045,9.993923137,3.207534217,2.454928982,6.654094807,0.970433407
